,Comment title,Comment,cleaned_Comment,lemmatized_Comment,Topic_1_probability,Topic_2_probability,Topic_3_probability,Topic_4_probability,Topic_5_probability,Max_Probability_Topic,Max_Topic_Words
0,"""bang on time and smooth flights""",Flew back from Faro to London Luton Friday 2nd February. Ryanair in both directions was bang on time and smooth flights in both directions.  We always sit in Front for more space and this was very comfortable for just under a 3 hour flight. The cabin crew were polite and efficient with nice sense of humour especially and engagement especially Ethan and his female colleague at the front section. For their human touch [unlike sometimes the stand offish BA crews] merit a 10/10 marking,fly faro london luton friday nd february ryanair direction bang time smooth flight direction sit space comfortable hour flight cabin crew polite efficient nice sense humour especially engagement especially ethan female colleague section human touch unlike stand offish ba crew merit marking,fly ryanair time smooth flight direction sit space comfortable hour flight cabin crew polite efficient nice sense humour especially engagement especially female colleague section human touch stand offish crew merit mark,0.06980006396770477,0.003778127022087574,0.0037777586840093136,0.8302099704742432,0.09243405610322952,Topic_4,"time, good, seat, crew, return, service, plane, staff, price, delay"
1,"""Another good affordable flight""","Another good affordable flight with Ryanair. On time, pleasant staff at check-in and on board. We use Ryanair as our first choice on every flight we take.",good affordable flight ryanair time pleasant staff checkin board use ryanair choice flight,good affordable flight ryanair time pleasant staff ryanair choice flight,0.015386384911835194,0.015388215892016888,0.015386398881673813,0.9384521245956421,0.015386825427412987,Topic_4,"time, good, seat, crew, return, service, plane, staff, price, delay"
2,“Really impressed!”,"Really impressed! You get what you pay for, this flight only cost £19.99. The seats were soft, and there was tons of legroom! (not in an emergency exit) The cabin was spotless. The colours were a little bright but it was good. Cheap and no frills! Highly recommend, flies almost everywhere,",impressed pay flight cost seat soft ton legroom emergency exit cabin spotless colour little bright good cheap frill highly recommend fly,impressed pay flight cost seat soft ton legroom emergency exit cabin spotless colour little bright good cheap frill highly recommend fly,0.005717392545193434,0.1220611110329628,0.40262165665626526,0.46388325095176697,0.00571660790592432,Topic_4,"time, good, seat, crew, return, service, plane, staff, price, delay"
3,“a decent offering from Ryanair”,"I should like to review my flight from Faro to Liverpool with Ryanair. I booked the seat with Ryanair several months before my planned travel and found the website clear and easy to use. Ryanair sent quite frequent emails relating to the flight and attempted to sell me extras. The check-in procedure was followed by a bag-drop at Faro Airport. This was not efficient and the app they recommended for speedy bag-drop did not work. Setting that aside, I was able to check-in my bag within less than 30 minutes of having arrived at the airport. Boarding was supposedly via group but this did not materialise at all. The cabin crew had a reasonable presence and delivered a serious safety procedure. During the flight the crew worked hard and had several rounds of drinks for sale. I found the seat suitable for a flight just under 3 hours. The flight departed on-time and arrived on schedule too. Disembarkation was delayed in Liverpool while this was not the fault of Ryanair, there was no communication with the passengers as to why this was the case. Disembarkation was not orderly and was poorly managed. Overall, a decent offering from Ryanair.",like review flight faro liverpool ryanair book seat ryanair month plan travel find website clear easy use ryanair send frequent email relate flight attempt sell extras checkin procedure follow bagdrop faro airport efficient app recommend speedy bagdrop work set aside able checkin bag minute have arrive airport boarding supposedly group materialise cabin crew reasonable presence deliver safety procedure flight crew work hard round drink sale find seat suitable flight hour flight depart ontime arrive schedule disembarkation delay liverpool fault ryanair communication passenger case disembarkation orderly poorly manage overall decent offering ryanair,review flight faro ryanair book seat ryanair month plan travel find website clear easy use ryanair send frequent email relate flight attempt sell procedure follow bagdrop efficient recommend speedy bagdrop work set aside able checkin bag minute arrive airport boarding supposedly group materialise cabin crew reasonable presence deliver safety procedure flight crew work hard round drink sale find seat suitable flight hour flight depart ontime arrive schedule disembarkation delay liverpool fault ryanair communication passenger case disembarkation orderly poorly manage overall decent offering ryanair,0.6409711837768555,0.0014398563653230667,0.0014396591577678919,0.13938264548778534,0.21676664054393768,Topic_1,"passenger, plane, seat, board, minute, queue, boarding, gate, sit, wait"
4,“cabin crew were welcoming and friendly”,"Flight left the gate ahead of schedule, fare was really cheap and cabin crew were welcoming and friendly. Flight was so much cheaper than Aer Lingus and flying with Ryanair is a much better experience.",flight leave gate ahead schedule fare cheap cabin crew welcome friendly flight cheap aer lingus fly ryanair well experience,flight leave ahead schedule fare cheap cabin crew welcome friendly flight cheap fly ryanair well experience,0.011767140589654446,0.011767498217523098,0.011766083538532257,0.952932596206665,0.011766623705625534,Topic_4,"time, good, seat, crew, return, service, plane, staff, price, delay"
5,"""close online checkin 3 hours before""","Booked a fight from Copenhagen to Poland though booking.com Somewhere in the email from booking.com it states that checkin must be done online from home. I figure I'll do it in the morning since I have plenty of time. it's low season and I don't have any checked in luggage. I live in Copenhagen not far from the airport. Morning comes and I try to check in online. No luck, apparently they close online checkin 3 hours before the flight. I figure I'll just check in at the airport at those self serve terminals. I arrive at the airport 2 hours before my flight and head for a terminal. Prompt says: kindly go to service desk. Head for service desk. They charge me 42 euro to check me in. The flight itself was 57 euro. They almost charged me the price of the flight just to check me in manually! And they forced me to check in manually by closing online and self-serve checkin. This is Ryanair policy. Apparently. Wizzair and booking are not without blame either, as they decide who they want to do business with.",book fight copenhagen poland bookingcom email bookingcom state checkin online home figure ill morning plenty time low season not check luggage live copenhagen far airport morning come try check online luck apparently close online checkin hour flight figure ill check airport self serve terminal arrive airport hour flight head terminal prompt say kindly service desk head service desk charge euro check flight euro charge price flight check manually force check manually close online selfserve checkin ryanair policy apparently wizzair booking blame decide want business,book fight email home figure ill morning plenty time low season check luggage live copenhagen far airport morning come try check online luck apparently close online checkin hour flight figure ill check airport self serve terminal hour flight head terminal say service desk check flight euro charge price flight check manually force check manually close ryanair policy apparently wizzair booking blame decide want business,0.001770893344655633,0.0017709567910060287,0.0017707777442410588,0.0017707445658743382,0.9929166436195374,Topic_5,"tell, check, hour, airport, try, book, customer_service, ask, wait, help"
6,"""they are really not better value""","The flight itself is operated by Malta air and I've always found their cabin crew to be very pleasant and respectful. That however cannot be said for their handling agents either in Pisa or Stansted. The Stansted bunch I have found to be rude, argumentative and hostile. Like they hate their work. Boarding no matter where is a shambles. You're invariably stuck in a freezing cold or roasting hot stairwell even before your aircraft reaches the gate. It's not a pleasant experience. Nowhere to sit. As budget airlines don't use jetties at the gate there is every chance that you're gonna get soaked going to and from the terminal in winter. Cabins are not the worst that I've been on. I'm a wee guy so 2hrs 30mins isn't too bad. As far as cheap fares go, I've yet to get a Ryaniar flight that I found to be value for money. All I can say about the flights is that they are generally uneventful and again the Malta Air crew are welcoming. I found that once you add on all of their ridiculous charges they are really not better value than companies like British Airways. It is worth remembering that whether you like Ryanair or not it gives us a choice.",flight operate malta air ve find cabin crew pleasant respectful say handling agent pisa stanste stansted bunch find rude argumentative hostile like hate work boarding matter shamble invariably stick freeze cold roasting hot stairwell aircraft reach gate pleasant experience sit budget airline not use jetty gate chance go to soak go terminal winter cabin bad ve m wee guy hrs min not bad far cheap fare ve ryaniar flight find value money flight generally uneventful malta air crew welcome find add ridiculous charge well value company like british airways worth remember like ryanair give choice,flight operate air ve find cabin crew pleasant respectful say handle agent stanste bunch find rude argumentative hostile hate work boarding matter shamble invariably stick freeze cold roast hot stairwell aircraft reach gate pleasant experience sit budget airline use chance go soak go terminal winter cabin bad ve m guy bad far cheap fare ve ryaniar flight find value money flight generally uneventful malta air crew welcome find add ridiculous charge value company worth remember ryanair give choice,0.0015520952874794602,0.532151997089386,0.0015521914465352893,0.41398751735687256,0.05075625330209732,Topic_2,"seat, pay, airline, book, people, return, luggage, cheap, time, staff"
7,"""asked me to pay for the backpack""","Staff is rude and has no manners, let alone be professional. I had a backpack with which I flew from Vienna to Paris through Ryanair without any issues. But while flying from Paris to Barcelona, they asked me to pay for the backpack. They have kept a small rack to check size of your carryon baggage, which is way smaller than the one we have in flight and as a result, high chances you will always end up paying. Because of this there was a long queue and one couple even missed their flight and instead of being considerate, they smiled and asked them to purchase ticket for another flight.",staff rude manner let professional backpack fly vienna paris ryanair issue fly paris barcelona ask pay backpack keep small rack check size carryon baggage way small flight result high chance end pay long queue couple miss flight instead considerate smile ask purchase ticket flight,staff rude let professional backpack fly issue fly barcelona ask pay backpack keep small rack check size carryon baggage way small flight result high chance end pay long queue couple miss flight instead considerate smile ask purchase ticket flight,0.00307801878079772,0.0030788343865424395,0.9876855611801147,0.0030790911987423897,0.0030785410199314356,Topic_3,"check, pay, bag, charge, luggage, ticket, baggage, tell, staff, priority"
8,"""ground service staff is really bad""","Ryanair ground service staff is really bad. If you have a problem, they never listen and they never help. I had problems twice. I tried to explain my situation. They did not listen and they did not take me to the flight. I missed the flight because of their mistake. They did not even look at the evidence that I tried to show them. My family holiday became a tragedy.",ryanair ground service staff bad problem listen help problem twice try explain situation listen flight miss flight mistake look evidence try family holiday tragedy,ryanair ground service staff bad problem listen help problem twice try explain situation listen flight miss flight mistake look evidence try family holiday tragedy,0.005409436300396919,0.005409524776041508,0.005409080535173416,0.005410233978182077,0.9783616662025452,Topic_5,"tell, check, hour, airport, try, book, customer_service, ask, wait, help"
9,"""they made us pay a No show fee""","I wanted to check in online a night before our flight, but my nationality was not listed in their websites and when we wanted to check in in person they asked for a fee, and that still was not a problem! They asked for a credit card to check for late check-in fee, we asked them to pay by our debit card or by cash, but they did not accept it. So we missed our flight, and they made us pay a No show fee on the application so that they give us another flight in the evening. The flight we got was about 30 Euro and the no show fee we paid was 100 Euro. When I told them in Germany we can pay by debit card or cash, they said we are an Irish airline it has nothing to do with Germany! Then why do you have your business here? The other thing is when I mentioned my nationality was not listed on your website they did not accept that and they inserted my nationality manually!",want check online night flight nationality list website want check person ask fee problem ask credit card check late checkin fee ask pay debit card cash accept miss flight pay fee application flight evening flight get euro fee pay euro tell germany pay debit card cash say irish airline germany business thing mention nationality list website accept insert nationality manually,want check online night flight nationality list website want check person ask fee problem ask credit card check late fee ask pay debit card cash accept miss flight pay fee application flight evening flight get euro fee pay pay debit card cash say business thing mention nationality list website accept insert nationality manually,0.00229964149184525,0.002299805637449026,0.5449809432029724,0.002299731131643057,0.4481199383735657,Topic_3,"check, pay, bag, charge, luggage, ticket, baggage, tell, staff, priority"
